Município;Dose;Total Doses Aplicadas
SANTA LÚCIA;ADICIONAL;4937
SANTA ISABEL;ADICIONAL;33913
SANTA GERTRUDES;ADICIONAL;11465
SANTA FÉ DO SUL;ADICIONAL;22419
SANTA ERNESTINA;ADICIONAL;4102
SANTA CRUZ DO RIO PARDO;ADICIONAL;31900
SANTA CRUZ DAS PALMEIRAS;ADICIONAL;17415
SANTA CRUZ DA ESPERANÇA;ADICIONAL;1484
SANTA CRUZ DA CONCEIÇÃO;ADICIONAL;3762
SANTA CLARA D'OESTE;ADICIONAL;2029
SANTA BRANCA;ADICIONAL;8644
SANTA BÁRBARA D'OESTE;ADICIONAL;101871
SANTA ALBERTINA;ADICIONAL;4848
SANTA ADÉLIA;ADICIONAL;9763
SANDOVALINA;ADICIONAL;2520
SALTO GRANDE;ADICIONAL;5433
SALTO DE PIRAPORA;ADICIONAL;26413
SALTO;ADICIONAL;71804
SALTINHO;ADICIONAL;5215
SALMOURÃO;ADICIONAL;3313
SALESÓPOLIS;ADICIONAL;10779
SALES OLIVEIRA;ADICIONAL;7108
SALES;ADICIONAL;4136
SAGRES;ADICIONAL;1542
SABINO;ADICIONAL;3919
RUBINÉIA;ADICIONAL;2407
RUBIÁCEA;ADICIONAL;1982
ROSEIRA;ADICIONAL;6236
ROSANA;ADICIONAL;11384
RIVERSUL;ADICIONAL;4763
RIOLÂNDIA;ADICIONAL;6952
RIO GRANDE DA SERRA;ADICIONAL;18139
RIO DAS PEDRAS;ADICIONAL;16940
RIO CLARO;ADICIONAL;119232
RINÓPOLIS;ADICIONAL;5140
RINCÃO;ADICIONAL;6825
RIFAINA;ADICIONAL;2909
RIBEIRÃO PRETO;ADICIONAL;433871
RIBEIRÃO PIRES;ADICIONAL;73406
RIBEIRÃO GRANDE;ADICIONAL;5786
RIBEIRÃO DOS ÍNDIOS;ADICIONAL;1894
RIBEIRÃO DO SUL;ADICIONAL;4053
RIBEIRÃO CORRENTE;ADICIONAL;2540
RIBEIRÃO BRANCO;ADICIONAL;11028
RIBEIRÃO BONITO;ADICIONAL;7886
RIBEIRA;ADICIONAL;2460
RESTINGA;ADICIONAL;4492
REGISTRO;ADICIONAL;34072
REGINÓPOLIS;ADICIONAL;7627
REGENTE FEIJÓ;ADICIONAL;13332
REDENÇÃO DA SERRA;ADICIONAL;2776
RANCHARIA;ADICIONAL;19286
RAFARD;ADICIONAL;5739
QUINTANA;ADICIONAL;4370
QUELUZ;ADICIONAL;4849
QUEIROZ;ADICIONAL;2116
QUATÁ;ADICIONAL;8565
QUADRA;ADICIONAL;2631
PROMISSÃO;ADICIONAL;23062
PRESIDENTE VENCESLAU;ADICIONAL;21038
PRESIDENTE PRUDENTE;ADICIONAL;140566
PRESIDENTE EPITÁCIO;ADICIONAL;22300
PRESIDENTE BERNARDES;ADICIONAL;11526
PRESIDENTE ALVES;ADICIONAL;2912
PRATÂNIA;ADICIONAL;3313
PRAIA GRANDE;ADICIONAL;181652
PRADÓPOLIS;ADICIONAL;11565
PRACINHA;ADICIONAL;2705
POTIRENDABA;ADICIONAL;10896
POTIM;ADICIONAL;11264
PORTO FERREIRA;ADICIONAL;34318
PORTO FELIZ;ADICIONAL;31326
PORANGABA;ADICIONAL;6930
POPULINA;ADICIONAL;3400
PONTES GESTAL;ADICIONAL;1859
PONTALINDA;ADICIONAL;2602
PONTAL;ADICIONAL;23388
PONGAÍ;ADICIONAL;2599
POMPÉIA;ADICIONAL;12708
POLONI;ADICIONAL;4622
POÁ;ADICIONAL;60810
PLATINA;ADICIONAL;2207
PLANALTO;ADICIONAL;2998
PITANGUEIRAS;ADICIONAL;21276
PIRATININGA;ADICIONAL;9076
PIRASSUNUNGA;ADICIONAL;43876
PIRAPOZINHO;ADICIONAL;16837
PIRAPORA DO BOM JESUS;ADICIONAL;9713
PIRANGI;ADICIONAL;7524
PIRAJUÍ;ADICIONAL;13854
PIRAJU;ADICIONAL;19421
PIRACICABA;ADICIONAL;242745
PIRACAIA;ADICIONAL;18809
PIQUETE;ADICIONAL;8161
PIQUEROBI;ADICIONAL;2152
PINHALZINHO;ADICIONAL;10139
PINDORAMA;ADICIONAL;9485
PINDAMONHANGABA;ADICIONAL;91895
PILAR DO SUL;ADICIONAL;19635
PIEDADE;ADICIONAL;34002
PIACATU;ADICIONAL;3260
PERUÍBE;ADICIONAL;45292
PEREIRAS;ADICIONAL;5630
PEREIRA BARRETO;ADICIONAL;16896
PENÁPOLIS;ADICIONAL;36132
PEDRO DE TOLEDO;ADICIONAL;5554
PEDRINHAS PAULISTA;ADICIONAL;2301
PEDREIRA;ADICIONAL;28214
PEDREGULHO;ADICIONAL;10306
PEDRANÓPOLIS;ADICIONAL;2264
PEDRA BELA;ADICIONAL;4994
PEDERNEIRAS;ADICIONAL;24245
PAULO DE FARIA;ADICIONAL;5989
PAULISTÂNIA;ADICIONAL;1598
PAULÍNIA;ADICIONAL;66460
PAULICÉIA;ADICIONAL;4308
PATROCÍNIO PAULISTA;ADICIONAL;8826
PARISI;ADICIONAL;2627
PARIQUERA-AÇU;ADICIONAL;12135
PARDINHO;ADICIONAL;4201
PARAPUÃ;ADICIONAL;6761
PARANAPUÃ;ADICIONAL;2795
PARANAPANEMA;ADICIONAL;13318
PARAÍSO;ADICIONAL;4358
PARAIBUNA;ADICIONAL;9546
PARAGUAÇU PAULISTA;ADICIONAL;27028
PANORAMA;ADICIONAL;8344
PALMITAL;ADICIONAL;16163
PALMEIRA D'OESTE;ADICIONAL;8326
PALMARES PAULISTA;ADICIONAL;6216
PALESTINA;ADICIONAL;7269
PACAEMBU;ADICIONAL;12318
OUROESTE;ADICIONAL;7443
OURO VERDE;ADICIONAL;4453
OURINHOS;ADICIONAL;58472
OSVALDO CRUZ;ADICIONAL;21298
OSCAR BRESSANE;ADICIONAL;2271
OSASCO;ADICIONAL;440522
ORLÂNDIA;ADICIONAL;25841
ORINDIÚVA;ADICIONAL;4655
ORIENTE;ADICIONAL;4023
ONDA VERDE;ADICIONAL;2906
OLÍMPIA;ADICIONAL;34956
ÓLEO;ADICIONAL;1961
OCAUÇU;ADICIONAL;3356
NUPORANGA;ADICIONAL;4987
NOVO HORIZONTE;ADICIONAL;24513
NOVAIS;ADICIONAL;1852
NOVA ODESSA;ADICIONAL;32230
NOVA LUZITÂNIA;ADICIONAL;2106
NOVA INDEPENDÊNCIA;ADICIONAL;4296
NOVA GUATAPORANGA;ADICIONAL;1713
NOVA GRANADA;ADICIONAL;13440
NOVA EUROPA;ADICIONAL;6831
NOVA CASTILHO;ADICIONAL;886
NOVA CANAÃ PAULISTA;ADICIONAL;1592
NOVA CAMPINA;ADICIONAL;6821
NOVA ALIANÇA;ADICIONAL;4754
NIPOÃ;ADICIONAL;2964
NHANDEARA;ADICIONAL;7029
NEVES PAULISTA;ADICIONAL;7375
NAZARÉ PAULISTA;ADICIONAL;11291
NATIVIDADE DA SERRA;ADICIONAL;3531
NARANDIBA;ADICIONAL;3926
NÃO INFORMADO;ADICIONAL;1379
NANTES;ADICIONAL;1844
MURUTINGA DO SUL;ADICIONAL;3230
MOTUCA;ADICIONAL;3082
MORUNGABA;ADICIONAL;9395
MORRO AGUDO;ADICIONAL;17283
MONTEIRO LOBATO;ADICIONAL;2709
MONTE MOR;ADICIONAL;29902
MONTE CASTELO;ADICIONAL;2760
MONTE AZUL PAULISTA;ADICIONAL;12359
MONTE APRAZÍVEL;ADICIONAL;15170
MONTE ALTO;ADICIONAL;34074
MONTE ALEGRE DO SUL;ADICIONAL;5220
MONGAGUÁ;ADICIONAL;32977
MONÇÕES;ADICIONAL;1794
MOMBUCA;ADICIONAL;2059
MOGI MIRIM;ADICIONAL;59088
MOGI GUAÇU;ADICIONAL;81113
MOGI DAS CRUZES;ADICIONAL;271719
MOCOCA;ADICIONAL;47438
MIRASSOLÂNDIA;ADICIONAL;3483
MIRASSOL;ADICIONAL;35611
MIRANTE DO PARANAPANEMA;ADICIONAL;10664
MIRANDÓPOLIS;ADICIONAL;18083
MIRACATU;ADICIONAL;9455
MIRA ESTRELA;ADICIONAL;2529
MINEIROS DO TIETÊ;ADICIONAL;8004
MIGUELÓPOLIS;ADICIONAL;13030
MESÓPOLIS;ADICIONAL;1388
MERIDIANO;ADICIONAL;3136
MENDONÇA;ADICIONAL;4080
MAUÁ;ADICIONAL;259462
MATÃO;ADICIONAL;53268
MARTINÓPOLIS;ADICIONAL;17430
MARINÓPOLIS;ADICIONAL;1792
MARÍLIA;ADICIONAL;134693
MARIÁPOLIS;ADICIONAL;2696
MARAPOAMA;ADICIONAL;2079
MARACAÍ;ADICIONAL;8741
MARABÁ PAULISTA;ADICIONAL;3908
MANDURI;ADICIONAL;7399
MAIRIPORÃ;ADICIONAL;51904
MAIRINQUE;ADICIONAL;31718
MAGDA;ADICIONAL;2177
MACEDÔNIA;ADICIONAL;3281
MACAUBAL;ADICIONAL;5044
MACATUBA;ADICIONAL;10067
LUTÉCIA;ADICIONAL;2011
LUPÉRCIO;ADICIONAL;2368
LUIZIÂNIA;ADICIONAL;2895
LUÍS ANTÔNIO;ADICIONAL;7077
LUCIANÓPOLIS;ADICIONAL;1881
LUCÉLIA;ADICIONAL;14153
LOUVEIRA;ADICIONAL;29520
LOURDES;ADICIONAL;1780
LORENA;ADICIONAL;46237
LINS;ADICIONAL;49590
LINDÓIA;ADICIONAL;4491
LIMEIRA;ADICIONAL;141766
LENÇÓIS PAULISTA;ADICIONAL;34070
LEME;ADICIONAL;58458
LAVRINHAS;ADICIONAL;3435
LAVÍNIA;ADICIONAL;9308
LARANJAL PAULISTA;ADICIONAL;17845
LAGOINHA;ADICIONAL;5018
JUQUITIBA;ADICIONAL;15416
JUQUIÁ;ADICIONAL;9559
JUNQUEIRÓPOLIS;ADICIONAL;13644
JUNDIAÍ;ADICIONAL;288867
JUMIRIM;ADICIONAL;2271
JÚLIO MESQUITA;ADICIONAL;2707
JOSÉ BONIFÁCIO;ADICIONAL;22474
JOÃO RAMALHO;ADICIONAL;2727
JOANÓPOLIS;ADICIONAL;8162
JERIQUARA;ADICIONAL;2041
JAÚ;ADICIONAL;73653
JARINU;ADICIONAL;17292
JARDINÓPOLIS;ADICIONAL;24442
JANDIRA;ADICIONAL;57365
JAMBEIRO;ADICIONAL;3893
JALES;ADICIONAL;30073
JAGUARIÚNA;ADICIONAL;32289
JACUPIRANGA;ADICIONAL;7222
JACI;ADICIONAL;4968
JACAREÍ;ADICIONAL;124693
JABOTICABAL;ADICIONAL;50325
JABORANDI;ADICIONAL;4554
ITUVERAVA;ADICIONAL;27159
ITUPEVA;ADICIONAL;33776
ITU;ADICIONAL;106106
ITOBI;ADICIONAL;4773
ITIRAPUÃ;ADICIONAL;3730
ITIRAPINA;ADICIONAL;9709
ITATINGA;ADICIONAL;13084
ITATIBA;ADICIONAL;69228
ITARIRI;ADICIONAL;7465
ITARARÉ;ADICIONAL;30263
ITAQUAQUECETUBA;ADICIONAL;169635
ITAPURA;ADICIONAL;2686
ITAPUÍ;ADICIONAL;8168
ITAPORANGA;ADICIONAL;10239
ITÁPOLIS;ADICIONAL;24575
ITAPIRAPUÃ PAULISTA;ADICIONAL;3168
ITAPIRA;ADICIONAL;50550
ITAPEVI;ADICIONAL;99074
ITAPEVA;ADICIONAL;60700
ITAPETININGA;ADICIONAL;101587
ITAPECERICA DA SERRA;ADICIONAL;84642
ITAOCA;ADICIONAL;3100
ITANHAÉM;ADICIONAL;73059
ITAJU;ADICIONAL;1963
ITAJOBI;ADICIONAL;10198
ITAÍ;ADICIONAL;18451
ITABERÁ;ADICIONAL;14435
IRAPURU;ADICIONAL;6094
IRAPUÃ;ADICIONAL;4584
IRACEMÁPOLIS;ADICIONAL;11914
IPUÃ;ADICIONAL;9154
IPORANGA;ADICIONAL;2321
IPIGUÁ;ADICIONAL;3591
IPEÚNA;ADICIONAL;3258
IPERÓ;ADICIONAL;20013
IPAUSSU;ADICIONAL;7770
INÚBIA PAULISTA;ADICIONAL;2764
INDIAPORÃ;ADICIONAL;3266
INDIANA;ADICIONAL;3158
INDAIATUBA;ADICIONAL;199162
ILHABELA;ADICIONAL;19536
ILHA SOLTEIRA;ADICIONAL;19244
ILHA COMPRIDA;ADICIONAL;9603
IGUAPE;ADICIONAL;18404
IGARATÁ;ADICIONAL;7152
IGARAPAVA;ADICIONAL;17266
IGARAÇU DO TIETÊ;ADICIONAL;15564
IEPÊ;ADICIONAL;5853
ICÉM;ADICIONAL;5507
IBIÚNA;ADICIONAL;39287
IBITINGA;ADICIONAL;35997
IBIRAREMA;ADICIONAL;4425
IBIRÁ;ADICIONAL;7792
IBATÉ;ADICIONAL;18718
IARAS;ADICIONAL;7088
IACRI;ADICIONAL;4209
IACANGA;ADICIONAL;8226
HORTOLÂNDIA;ADICIONAL;114579
HOLAMBRA;ADICIONAL;9679
HERCULÂNDIA;ADICIONAL;4331
GUZOLÂNDIA;ADICIONAL;3110
GUATAPARÁ;ADICIONAL;5466
GUARULHOS;ADICIONAL;713365
GUARUJÁ;ADICIONAL;152966
GUARIBA;ADICIONAL;24155
GUAREÍ;ADICIONAL;10179
GUARATINGUETÁ;ADICIONAL;65748
GUARAREMA;ADICIONAL;21624
GUARARAPES;ADICIONAL;21492
GUARANTÃ;ADICIONAL;4055
GUARANI D'OESTE;ADICIONAL;1658
GUARACI;ADICIONAL;7229
GUARAÇAÍ;ADICIONAL;5117
GUARÁ;ADICIONAL;12519
GUAPIARA;ADICIONAL;11672
GUAPIAÇU;ADICIONAL;13356
GUAÍRA;ADICIONAL;29258
GUAIMBÊ;ADICIONAL;3889
GUAIÇARA;ADICIONAL;7155
GLICÉRIO;ADICIONAL;2916
GETULINA;ADICIONAL;7082
GENERAL SALGADO;ADICIONAL;6815
GAVIÃO PEIXOTO;ADICIONAL;3366
GASTÃO VIDIGAL;ADICIONAL;2465
GARÇA;ADICIONAL;26341
GÁLIA;ADICIONAL;5710
GABRIEL MONTEIRO;ADICIONAL;2219
FRANCO DA ROCHA;ADICIONAL;88330
FRANCISCO MORATO;ADICIONAL;86110
FRANCA;ADICIONAL;185185
FLORÍNEA;ADICIONAL;3370
FLÓRIDA PAULISTA;ADICIONAL;8897
FLOREAL;ADICIONAL;2419
FLORA RICA;ADICIONAL;1275
FERRAZ DE VASCONCELOS;ADICIONAL;86635
FERNÃO;ADICIONAL;1588
FERNANDÓPOLIS;ADICIONAL;51012
FERNANDO PRESTES;ADICIONAL;4812
FARTURA;ADICIONAL;11501
EUCLIDES DA CUNHA PAULISTA;ADICIONAL;5189
ESTRELA DO NORTE;ADICIONAL;2114
ESTRELA D'OESTE;ADICIONAL;6646
ESTIVA GERBI;ADICIONAL;5861
ESPÍRITO SANTO DO TURVO;ADICIONAL;2766
ESPÍRITO SANTO DO PINHAL;ADICIONAL;25526
ENGENHEIRO COELHO;ADICIONAL;8245
EMILIANÓPOLIS;ADICIONAL;2100
EMBU-GUAÇU;ADICIONAL;37659
EMBU DAS ARTES;ADICIONAL;144939
EMBAÚBA;ADICIONAL;1525
ELISIÁRIO;ADICIONAL;2430
ELIAS FAUSTO;ADICIONAL;10688
ELDORADO;ADICIONAL;6055
ECHAPORÃ;ADICIONAL;4430
DUMONT;ADICIONAL;6397
DUARTINA;ADICIONAL;10750
DRACENA;ADICIONAL;27305
DOURADO;ADICIONAL;6287
DOLCINÓPOLIS;ADICIONAL;1980
DOIS CÓRREGOS;ADICIONAL;14728
DOBRADA;ADICIONAL;5094
DIVINOLÂNDIA;ADICIONAL;9122
DIRCE REIS;ADICIONAL;1608
DIADEMA;ADICIONAL;243858
DESCALVADO;ADICIONAL;23421
CUNHA;ADICIONAL;13448
CUBATÃO;ADICIONAL;61939
CRUZEIRO;ADICIONAL;46395
CRUZÁLIA;ADICIONAL;1769
CRISTAIS PAULISTA;ADICIONAL;5632
CRAVINHOS;ADICIONAL;18942
COTIA;ADICIONAL;142671
COSMORAMA;ADICIONAL;6091
COSMÓPOLIS;ADICIONAL;30492
CORUMBATAÍ;ADICIONAL;2361
CORONEL MACEDO;ADICIONAL;4132
COROADOS;ADICIONAL;3270
CORDEIRÓPOLIS;ADICIONAL;15406
CONCHAS;ADICIONAL;10447
CONCHAL;ADICIONAL;13751
COLÔMBIA;ADICIONAL;5332
COLINA;ADICIONAL;11003
CLEMENTINA;ADICIONAL;4628
CHAVANTES;ADICIONAL;8041
CHARQUEADA;ADICIONAL;8885
CESÁRIO LANGE;ADICIONAL;10750
CERQUILHO;ADICIONAL;31206
CERQUEIRA CÉSAR;ADICIONAL;16764
CEDRAL;ADICIONAL;6485
CATIGUÁ;ADICIONAL;5131
CATANDUVA;ADICIONAL;68567
CASTILHO;ADICIONAL;13236
CÁSSIA DOS COQUEIROS;ADICIONAL;2150
CASA BRANCA;ADICIONAL;16756
CARDOSO;ADICIONAL;8871
CARAPICUÍBA;ADICIONAL;195809
CARAGUATATUBA;ADICIONAL;67204
CAPIVARI;ADICIONAL;29131
CAPELA DO ALTO;ADICIONAL;13952
CAPÃO BONITO;ADICIONAL;29593
CANITAR;ADICIONAL;3105
CÂNDIDO RODRIGUES;ADICIONAL;2706
CÂNDIDO MOTA;ADICIONAL;19509
CANAS;ADICIONAL;2041
CANANÉIA;ADICIONAL;7472
CAMPOS NOVOS PAULISTA;ADICIONAL;3167
CAMPOS DO JORDÃO;ADICIONAL;27964
CAMPO LIMPO PAULISTA;ADICIONAL;41119
CAMPINAS;ADICIONAL;702179
CAMPINA DO MONTE ALEGRE;ADICIONAL;4300
CAJURU;ADICIONAL;14546
CAJOBI;ADICIONAL;6958
CAJATI;ADICIONAL;13838
CAJAMAR;ADICIONAL;53749
CAIUÁ;ADICIONAL;5160
CAIEIRAS;ADICIONAL;60781
CAIABU;ADICIONAL;2356
CAFELÂNDIA;ADICIONAL;10880
CACONDE;ADICIONAL;11218
CACHOEIRA PAULISTA;ADICIONAL;16749
CAÇAPAVA;ADICIONAL;55152
CABREÚVA;ADICIONAL;24356
CABRÁLIA PAULISTA;ADICIONAL;2789
BURITIZAL;ADICIONAL;2764
BURITAMA;ADICIONAL;12295
BURI;ADICIONAL;11118
BROTAS;ADICIONAL;14111
BRODOWSKI;ADICIONAL;15623
BREJO ALEGRE;ADICIONAL;1566
BRAÚNA;ADICIONAL;3016
BRAGANÇA PAULISTA;ADICIONAL;121709
BOTUCATU;ADICIONAL;131461
BOREBI;ADICIONAL;1066
BORBOREMA;ADICIONAL;9687
BORACÉIA;ADICIONAL;2798
BORÁ;ADICIONAL;512
BOM SUCESSO DE ITARARÉ;ADICIONAL;2809
BOM JESUS DOS PERDÕES;ADICIONAL;13552
BOITUVA;ADICIONAL;33878
BOFETE;ADICIONAL;6887
BOCAINA;ADICIONAL;7929
BOA ESPERANÇA DO SUL;ADICIONAL;8927
BIRITIBA MIRIM;ADICIONAL;16176
BIRIGUI;ADICIONAL;66827
BILAC;ADICIONAL;5370
BERTIOGA;ADICIONAL;31534
BERNARDINO DE CAMPOS;ADICIONAL;8843
BENTO DE ABREU;ADICIONAL;2023
BEBEDOURO;ADICIONAL;47422
BAURU;ADICIONAL;217498
BATATAIS;ADICIONAL;46780
BASTOS;ADICIONAL;15565
BARUERI;ADICIONAL;165396
BARRINHA;ADICIONAL;16579
BARRETOS;ADICIONAL;79866
BARRA DO TURVO;ADICIONAL;3324
BARRA DO CHAPÉU;ADICIONAL;3329
BARRA BONITA;ADICIONAL;26907
BARIRI;ADICIONAL;18023
BARBOSA;ADICIONAL;4037
BARÃO DE ANTONINA;ADICIONAL;2652
BANANAL;ADICIONAL;6013
BÁLSAMO;ADICIONAL;6111
BALBINOS;ADICIONAL;4262
BADY BASSITT;ADICIONAL;11164
AVARÉ;ADICIONAL;62686
AVANHANDAVA;ADICIONAL;6949
AVAÍ;ADICIONAL;3823
AURIFLAMA;ADICIONAL;8554
ATIBAIA;ADICIONAL;99370
ASSIS;ADICIONAL;60123
ASPÁSIA;ADICIONAL;1307
ARUJÁ;ADICIONAL;47732
ARTUR NOGUEIRA;ADICIONAL;27627
ARIRANHA;ADICIONAL;5928
AREIÓPOLIS;ADICIONAL;5813
AREIAS;ADICIONAL;2400
AREALVA;ADICIONAL;6008
ARCO-ÍRIS;ADICIONAL;1768
ARARAS;ADICIONAL;86014
ARARAQUARA;ADICIONAL;155506
ARAPEÍ;ADICIONAL;1503
ARANDU;ADICIONAL;4762
ARAMINA;ADICIONAL;4165
ARAÇOIABA DA SERRA;ADICIONAL;22884
ARAÇATUBA;ADICIONAL;117477
ARAÇARIGUAMA;ADICIONAL;10505
APIAÍ;ADICIONAL;15066
APARECIDA D'OESTE;ADICIONAL;3692
APARECIDA;ADICIONAL;18263
ANHUMAS;ADICIONAL;2344
ANHEMBI;ADICIONAL;4073
ANGATUBA;ADICIONAL;13406
ANDRADINA;ADICIONAL;36828
ANALÂNDIA;ADICIONAL;2451
AMPARO;ADICIONAL;47243
AMÉRICO DE CAMPOS;ADICIONAL;4685
AMÉRICO BRASILIENSE;ADICIONAL;21585
AMERICANA;ADICIONAL;124090
ALVINLÂNDIA;ADICIONAL;2094
ÁLVARO DE CARVALHO;ADICIONAL;4864
ÁLVARES MACHADO;ADICIONAL;15387
ÁLVARES FLORENCE;ADICIONAL;3054
ALUMÍNIO;ADICIONAL;11385
ALTO ALEGRE;ADICIONAL;2718
ALTINÓPOLIS;ADICIONAL;11797
ALTAIR;ADICIONAL;2802
ALFREDO MARCONDES;ADICIONAL;3782
ALAMBARI;ADICIONAL;3923
AGUDOS;ADICIONAL;20341
ÁGUAS DE SÃO PEDRO;ADICIONAL;3896
ÁGUAS DE SANTA BÁRBARA;ADICIONAL;3809
ÁGUAS DE LINDÓIA;ADICIONAL;12156
ÁGUAS DA PRATA;ADICIONAL;5612
AGUAÍ;ADICIONAL;21404
ADOLFO;ADICIONAL;3723
ADAMANTINA;ADICIONAL;24421
ZACARIAS;2° DOSE;2257
VOTUPORANGA;2° DOSE;83184
VOTORANTIM;2° DOSE;92938
VITÓRIA BRASIL;2° DOSE;1608
VISTA ALEGRE DO ALTO;2° DOSE;6952
VIRADOURO;2° DOSE;15859
VINHEDO;2° DOSE;66178
VERA CRUZ;2° DOSE;8687
VÁRZEA PAULISTA;2° DOSE;93407
VARGEM GRANDE PAULISTA;2° DOSE;41602
VARGEM GRANDE DO SUL;2° DOSE;35360
VARGEM;2° DOSE;8589
VALPARAÍSO;2° DOSE;20840
VALINHOS;2° DOSE;104684
VALENTIM GENTIL;2° DOSE;12020
URUPÊS;2° DOSE;12057
URU;2° DOSE;1312
URÂNIA;2° DOSE;7625
UNIÃO PAULISTA;2° DOSE;1531
UCHOA;2° DOSE;8830
UBIRAJARA;2° DOSE;4430
UBATUBA;2° DOSE;76532
UBARANA;2° DOSE;4938
TURMALINA;2° DOSE;1782
TURIÚBA;2° DOSE;1728
TUPI PAULISTA;2° DOSE;14346
TUPÃ;2° DOSE;55621
TUIUTI;2° DOSE;5805
TRÊS FRONTEIRAS;2° DOSE;5690
TREMEMBÉ;2° DOSE;42326
TRABIJU;2° DOSE;1592
TORRINHA;2° DOSE;8358
TORRE DE PEDRA;2° DOSE;2529
TIMBURI;2° DOSE;2436
TIETÊ;2° DOSE;32909
TERRA ROXA;2° DOSE;6987
TEODORO SAMPAIO;2° DOSE;19243
TEJUPÁ;2° DOSE;3781
TAUBATÉ;2° DOSE;259124
TATUÍ;2° DOSE;103031
TARUMÃ;2° DOSE;12506
TARABAI;2° DOSE;6028
TAQUARIVAÍ;2° DOSE;5467
TAQUARITUBA;2° DOSE;22569
TAQUARITINGA;2° DOSE;46756
TAQUARAL;2° DOSE;2479
TAPIRATIBA;2° DOSE;11189
TAPIRAÍ;2° DOSE;7049
TANABI;2° DOSE;22246
TAMBAÚ;2° DOSE;18168
TAIÚVA;2° DOSE;6024
TAIAÇU;2° DOSE;5243
TAGUAÍ;2° DOSE;11414
TACIBA;2° DOSE;5180
TABOÃO DA SERRA;2° DOSE;230480
TABATINGA;2° DOSE;12602
TABAPUÃ;2° DOSE;10242
SUZANO;2° DOSE;247305
SUZANÁPOLIS;2° DOSE;3104
SUMARÉ;2° DOSE;231920
SUD MENNUCCI;2° DOSE;6604
SOROCABA;2° DOSE;580630
SOCORRO;2° DOSE;35066
SILVEIRAS;2° DOSE;5653
SEVERÍNIA;2° DOSE;13057
SETE BARRAS;2° DOSE;10847
SERTÃOZINHO;2° DOSE;106932
SERRANA;2° DOSE;42308
SERRA NEGRA;2° DOSE;25018
SERRA AZUL;2° DOSE;12311
SEBASTIANÓPOLIS DO SUL;2° DOSE;3123
SARUTAIÁ;2° DOSE;3378
SARAPUÍ;2° DOSE;8504
SÃO VICENTE;2° DOSE;281053
SÃO SIMÃO;2° DOSE;12195
SÃO SEBASTIÃO DA GRAMA;2° DOSE;9398
SÃO SEBASTIÃO;2° DOSE;73750
SÃO ROQUE;2° DOSE;73872
SÃO PEDRO DO TURVO;2° DOSE;6389
SÃO PEDRO;2° DOSE;30778
SÃO PAULO;2° DOSE;11076648
SÃO MIGUEL ARCANJO;2° DOSE;28321
SÃO MANUEL;2° DOSE;32060
SÃO LUIZ DO PARAITINGA;2° DOSE;10083
SÃO LOURENÇO DA SERRA;2° DOSE;12801
SÃO JOSÉ DOS CAMPOS;2° DOSE;590949
SÃO JOSÉ DO RIO PRETO;2° DOSE;412391
SÃO JOSÉ DO RIO PARDO;2° DOSE;46920
SÃO JOSÉ DO BARREIRO;2° DOSE;3656
SÃO JOSÉ DA BELA VISTA;2° DOSE;6582
SÃO JOAQUIM DA BARRA;2° DOSE;41638
SÃO JOÃO DO PAU D'ALHO;2° DOSE;2010
SÃO JOÃO DE IRACEMA;2° DOSE;1648
SÃO JOÃO DAS DUAS PONTES;2° DOSE;2254
SÃO JOÃO DA BOA VISTA;2° DOSE;80079
SÃO FRANCISCO;2° DOSE;2566
SÃO CARLOS;2° DOSE;222983
SÃO CAETANO DO SUL;2° DOSE;140761
SÃO BERNARDO DO CAMPO;2° DOSE;686675
SÃO BENTO DO SAPUCAÍ;2° DOSE;10583
SANTOS;2° DOSE;381326
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;3412
SANTO EXPEDITO;2° DOSE;2651
SANTO ANTÔNIO DO PINHAL;2° DOSE;6336
SANTO ANTÔNIO DO JARDIM;2° DOSE;5423
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;7010
SANTO ANTÔNIO DE POSSE;2° DOSE;19508
SANTO ANTÔNIO DA ALEGRIA;2° DOSE;6372
SANTO ANDRÉ;2° DOSE;594055
SANTO ANASTÁCIO;2° DOSE;15793
SANTANA DE PARNAÍBA;2° DOSE;131505
SANTANA DA PONTE PENSA;2° DOSE;1440
SANTA SALETE;2° DOSE;1554
SANTA ROSA DE VITERBO;2° DOSE;21437
SANTA RITA DO PASSA QUATRO;2° DOSE;22734
SANTA RITA D'OESTE;2° DOSE;2423
SANTA MERCEDES;2° DOSE;2746
SANTA MARIA DA SERRA;2° DOSE;4921
SANTA LÚCIA;2° DOSE;6475
SANTA ISABEL;2° DOSE;47273
SANTA GERTRUDES;2° DOSE;19418
SANTA FÉ DO SUL;2° DOSE;30211
SANTA ERNESTINA;2° DOSE;5217
SANTA CRUZ DO RIO PARDO;2° DOSE;41666
SANTA CRUZ DAS PALMEIRAS;2° DOSE;25170
SANTA CRUZ DA ESPERANÇA;2° DOSE;1892
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;3859
SANTA CLARA D'OESTE;2° DOSE;2193
SANTA BRANCA;2° DOSE;11809
SANTA BÁRBARA D'OESTE;2° DOSE;151582
SANTA ALBERTINA;2° DOSE;5635
SANTA ADÉLIA;2° DOSE;12370
SANDOVALINA;2° DOSE;3344
SALTO GRANDE;2° DOSE;7427
